year;co2
16928.83;0.68
16994.77;1.09
17091.85;1.05
17163.7;1.3
17236.25;0.78
17287.9;0.5
17311.87;0.27
17360.5;0.91
17385.3;0.39
17410.03;0.27
17434.97;0.47
17460.99;0.46
17485.29;0.5
17510.87;0.05
17534.59;0.61
17561.46;0.3
17586.25;0.86
17612;0.24
17637.88;1.23
17665.06;0.56
17691.21;1.33
17717.05;0.56
17743.75;0.24
17769.71;0.33
17797.57;0.66
17825.43;1.24
17854.6;0.72
17881;1.19
17907.16;0.26
17935.99;0.98
17965.83;0.1
17992.04;0.64
18024.45;1.1
18050.09;0.5
18081.6;0.47
18110.63;1.48
18139.76;0.23
18173.16;1.13
18201.79;0.95
18232.18;0.47
18264.68;1.16
18295.81;0.19
18324.39;0.84
18360.35;0.18
18391.16;1.16
18422.43;0.75
18457.83;1.07
18486.59;0.7
18519.99;0.14
18582.94;0.62
18677.4;0.5
18747.05;1.01
18803.64;1.1
18835.15;0.82
18866.91;0.53
18993.82;1.75
19152.79;1.12
19282.16;0.84
19442.73;1.3
19568.15;0.25
19629.49;0.59
19791.19;0.53
19883.88;0.42
20018.7;0.75
20213.31;1.21
20407.6;0.65
20536.8;0.69
20666.49;0.93
20828.39;1.09
20964.43;0.82
21067.69;0.87
21212.7;0.07
21345.18;1.16
21562.85;0.31
21790.59;0.22
21913.63;0.95
22055.59;1.55
22230.89;0.99
22292.2;0.45
22347.6;1.25
22550.1;0.2
22604.1;1.63
22650.8;0.23
22749.3;0.25
22833.6;0.13
22994;1.13
23013.8;0.64
23107.3;0.82
23185;0.87
23276.7;1.29
23358.4;1.72
23445.2;0.46
23600.5;0.41
23873.8;0.03
24077.7;0.62
24269.8;0.92
24643.6;2.72
25163.6;0.78
25351.1;0.08
25543.6;0.62
25786;0.58
26016;0.41
26254.5;0.52
26315;0.53
26460.7;0.81
26537.1;0.53
26703.7;0.33
26857.8;0.22
26954.9;0.8
27042;0.21
27084.8;0.06
27170.2;0.48
27280.1;0.47
27441.9;0.84
27502.8;1.92
27549.7;1.94
27586.4;0.38
27661.3;0.69
27687;0.08
27714.1;1.64
27718.6;0.32
27820.7;0.87
27866.4;0.49
27885;0.12
27927.1;0.39
27973.2;0.31
28097.3;0.64
28214.1;0.28
28271.6;0.32
28369.7;1.67
28413.9;0.24
28426.9;0.56
28577.4;0.05
28626.4;0.16
28724.3;0.2
28841.9;0.34
28902.7;0.54
28948.6;0.73
29008.9;0.49
29150.7;0.17
29205.3;0.03
29249.6;0.97
29323.9;0.89
29366.1;0.3
29410.2;0.66
29609.2;0.04
29681.2;0.25
29742.8;0.27
29837.8;0.16
29952.1;1.23
29999;0.22
30101.5;0.59
30181.7;0.62
30277.9;0.08
30312.7;0.6
30400.5;0.3
30528.8;0.43
30713;0.2
30775.7;0.73
31105.2;0.06
31356.4;0.78
31524.1;0.36
31792.1;1.23
31818.4;1.13
31933.9;0.11
32026.9;0.43
32079.6;1.12
32147.5;0.49
32150.6;1.31
32307.9;1.94
32361.2;0.28
32434.8;0.53
32511.1;0.37
32594.6;0.41
32677.8;0.29
32714.1;0.26
32813.1;2.55
32880.9;0.8
33009;0.46
33148.3;0.22
33417.5;0.54
33491.4;0.41
33555.3;0.27
33758.1;0.69
33841;0.74
33885.7;0.45
33907.5;0.66
33925.9;0.03
33957;0.45
33991.5;0.33
34064.2;1.02
34190.3;0.62
34250.8;0.76
34312.8;0.24
34334.4;0.32
34556.9;0.74
34602.6;0.64
34620;0.43
34647.8;0.98
34710.6;1.2
34825.6;0.03
34866.8;0.48
35089.6;0.57
35165.8;0.36
35281.7;0.1
35337;1.22
35359.4;0.87
35383;0.26
35445.8;0.8
35497.1;1.01
35508.5;0.9
35530.7;0.65
35568;0.99
35672.5;0.24
35701.6;0.63
35854.6;1.07
35948.3;0.37
36086.5;1.32
36173.1;0.23
36261.8;0.63
36506.3;0.95
36591.8;1.14
36669.6;0.16
36712.8;0.01
36820.2;1.16
36939.8;0.23
37023.4;1.13
37118.6;0.89
37143.2;0.16
37296.5;0.95
37302;0.59
37338.1;0.12
37431;1.47
37461.3;0.53
37618.6;0.4
37647.5;0.72
37777.2;1.62
37895;1.09
38000.3;0.68
38088.5;1.48
38165.6;0.59
38192.4;0.45
38284.2;0.17
38359.2;0.67
38412.8;0.64
38472.9;0.04
38533.2;0.4
38573.6;1.98
38621.8;0.46
38670.8;0.74
38723.4;0.31
38812.6;0.26
38874.7;0.02
38955.6;1.31
38976.8;1.42
39053.6;0.68
39120.5;0.2
39265.7;1.7
39303.2;0.47
39319.9;0.48
39339.8;0.79
39379.4;1.06
39402.9;0.9
39454.4;1.03
39515.4;1.36
39621;2.08
39709.2;1.06
39757.1;1.16
39885;0.2
39900.5;0.67
40042.7;2.21
40112.1;0.44
40145.3;0.42
40308.4;1.39
40485.95;1.37
40553.44;1.09
40754.3;0.74
40907.39;1.92
41167.9;1.88
41303.59;1.54
41605.97;0.99
41759.21;1
41900.69;1.36
42315.82;1.24
42628.3;0.19
42849.87;1.07
42968.08;0.76
43171.89;1.43
43350.66;1.81
43515.82;0.86
43661.16;1.05
43809.01;1.13
44095.2;0.92
44204.45;0.52
44350.47;1.86
44490.5;1.32
44655.54;0.85
44816.01;0.56
44996.16;0.35
45142.02;0.71
45280.39;0.82
45460.32;0.81
45696.06;2.16
45877.11;0.33
46057.33;1.74
46181.26;1.19
46308.55;1.45
46635.9;1.44
46746.44;0.99
46887.94;1.5
47086.28;0.53
47314.98;1.2
47524.36;0.98
47710.39;0.39
47943.75;0.97
48223.18;2.05
48427.86;0.56
48987.95;0.88
49302.98;0.4
49462.66;1.22
49728.32;1.26
50006.51;1.65
50220.55;0.48
50527.41;0.46
51029.17;0.91
51431.45;0.39
51779.53;1.77
52086.82;0.73
52384.78;0.28
52573.68;0.36
52800.74;1.09
53108.25;1.68
53400.45;0.89
53806.25;1.49
54156.6;0.85
54387.13;1.84
54694.61;1.14
55014.49;0.61
55293.46;0.72
55553.13;0.55
55909.54;1.23
56237.13;0.81
56503.58;0.67
57210.94;0.63
57476.27;2.49
57843.72;0.49
58217.01;0.8
58433.32;1.22
59105.07;0.15
59380.41;1.37
59733.47;0.7
60109.88;0.84
60373.06;0.71
60516.63;0.6
60817.62;1.38
61060.88;1.26
61234.84;1.01
61554.11;0.7
61900.72;1.2
62552.01;0.95
62774.57;2.34
62960.9;0.65
63555.79;1.22
63896.88;0.78
64113.78;1.31
64657.29;0.51
64867.42;1.19
65046.72;0.66
65546.45;3.34
65764.51;0.74
65937.23;1.46
66439.31;2.87
66959.71;1.69
67314.59;2
67729.68;1.06
68146.19;1.62
68619.99;0.57
69081.53;0.89
69592.02;1.13
70052.16;1.78
70427.26;0.55
70928.87;1.38
71279.17;1.24
71693.65;0.75
72092.81;0.88
72490.15;0.94
72866.04;0.97
73219.32;2.09
73750.96;0.94
74221.48;0.7
74525.65;0.98
75067.95;1.62
75545.13;0.74
75850.65;0.63
76247.47;1.12
76696.74;1.98
77056.48;1.54
77615.92;1.3
78080.75;0.84
78507.95;0.65
78969.54;0.56
79410.36;1.34
79877.76;0.72
80330.36;0.62
80721.79;1.46
81206.94;0.8
81711.43;1.17
82068.79;0.94
82526.72;1.64
82988.26;0.7
83554.11;1
83940.9;0.8
84357.44;0.76
84936.77;1.1
85367.47;0.6
85890.69;1.57
86498.32;0.72
87027.64;2.32
87581.18;0.93
88136.18;1.57
88701.05;0.5
89244.72;1.1
89696.26;0.58
90317.29;1.29
90834.02;0.57
91445.03;0.57
91949.74;1.11
92667.82;2.22
93424.71;0.83
93823.21;0.77
94568.55;0.53
95234.11;1.07
95921.48;1.54
96474.88;0.6
97270.89;2.04
97927.46;0.45
98583.72;0.23
99361.42;1.01
100076.85;1.07
100543.18;1.1
101325.68;1.13
101971.89;0.94
102764.78;1.75
103308.74;0.94
104274.33;0.83
104331.23;1.55
104966.45;2.65
105507.15;9.96
105989.87;4.2
106256.38;2.65
106368.25;3.05
106974.82;2.65
108401.91;2.65
109129.42;1.58
109839.97;2.65
110555.36;2.65
111876.8;2.94
112636.06;2.65
112941.73;2.65
113119.27;3.64
113678.64;2.65
114250;2.65
114815.39;2.65
115446.67;1.63
115908.58;2.65
116475.58;2.65
117185.55;2.65
117619.36;4.03
118658.27;2.65
119242.52;2.65
119715.5;1.3
120144.12;2.65
120542.91;2.65
121426.02;2.26
121841.97;2.65
122100;3.4
122292.36;2.65
123013.95;2.65
123630.91;6.56
123959.48;2.65
124404.52;2.65
124817.45;2.65
125292.63;2.78
126013.7;2.65
126699.91;2.65
126962.03;2.65
127313.83;2.65
127503.55;3.83
128024.48;0.28
128172.67;2.65
128466.73;2.65
128878;2.65
129078.04;1.92
129655.64;3.45
130373.03;2.65
130818.36;2.65
131322.2;1.89
131976.24;2.65
132709.88;2.65
132931.96;2.65
133775.81;2.65
134522.28;2.65
136565.55;0.79
137763.42;2.65
138834.3;1.08
139949.97;0.19
142360.56;0.95
143651.3;2.65
144799.59;2.65
146108.24;0.64
148233.47;4.05
149466.15;2.65
150594.88;2.65
151444.85;1.86
153774.66;1.73
154889.13;2.65
156306.82;2.65
158666;3
159716;3
160155;3
163858;3
164334.65;3
166143;3
166784;3
167914.1;3
168745.5;3
169514.4;3
171939;3
174442;3
175833.35;3
176853;3
177533.93;3
177729.5;3
179873;3
181302;3
182196;3
183258;3
184371;3
186411;3
188437;3
189806.5;3
191254.5;3
191964.08;3
193074.5;3
195126.5;3
195799.5;3
197587.35;3
198327.45;3
198938;3
201752;3
202744.5;3
203842;3
205203.28;3
205575.76;3
205944.58;3
206359.94;3
206896.85;3
207240.3;3
207622.89;3
208108.78;3
208274.53;3
208821.57;3
209082.26;3
209445.04;3
209966.09;3
210175.17;3
210832.07;3
211058.47;3
211577.84;3
212078.75;3
212533.08;3
213330.35;3
214158.81;3
215080.75;3
215912.34;3
216306.15;3
216864.97;3
217415.64;3
217694.96;3
218200.79;3
219067.61;3
220935.62;3
221697.46;3
222539.58;3
223129.04;3
224271.51;3
226259.83;3
226849.84;3
227719.98;3
228439.42;3
228766.99;3
229572.05;3
231129.66;3
232191.77;3
232856.06;3
235990.86;3
236426.01;3
236850.8;3
237391.66;3
237905.53;3
238425.34;3
239008.26;3
239387.04;3
239738.66;3
240190.37;3
241333.05;3
241855.4;3
242685.46;3
243138.52;3
244121.77;3
244582.34;3
245057.01;3
245564;3
246188.81;3
246870.49;3
249099.87;3
251390.57;3
252132.26;3
252953.72;3
253756.68;3
254587.11;3
256298.66;3
257060.59;3
